"","EGFR","Hypoxia","JAK.STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","p53"
"TCGA-3N-A9WD",-0.267729083202051,0.500773842471042,0.405479105017445,0.245240156921329,0.509869671611581,-0.748001029235794,0.383777792389895,1.19064561011361,0.37386141102439,-1.03669657551668,-0.587907716613182
"TCGA-D3-A1Q1",-0.876283808432769,0.817715190687085,-2.07537427814504,-0.137761938929831,-1.66159085748258,-0.0332190441172998,-1.44814555702913,-1.89979376608932,-2.1855323158362,-0.595804810554007,-1.34774035563033
"TCGA-D3-A1Q4",-0.161482003282059,1.19227369965058,-0.308567799177808,0.136165123924171,-0.747294166243571,1.06531849191564,2.99462324938734,0.295408875223809,0.0633455102610159,-1.07700860721648,-0.0514915960342211
"TCGA-D3-A1Q5",-0.846837059046836,0.950402069602437,-1.30188660317906,0.2808499904287,-1.01047661954003,1.50060393299669,2.76316601596955,-0.164354074021925,-1.10884564270892,-0.719107485475317,0.225001647996933
"TCGA-D3-A1Q6",2.18700943706142,1.49763325519291,0.67221655317082,3.09393525905021,0.959811285123817,2.91971693490193,-0.060172751175164,1.32272222863813,-0.362186259574172,1.46607000480514,0.25316914190885
"TCGA-D3-A1Q8",0.242760542268152,-0.711540627115177,-0.338152750757179,0.588286176077019,-0.304050451741918,1.52134798700169,1.97637771318302,0.263199942813263,-0.09828054562141,0.471489262185131,0.920984633467298
"TCGA-D3-A1Q9",-0.438786368072789,-0.573889194346459,0.614650671651782,-0.573917649435992,0.37708895048392,0.457755731502865,-0.43300647585457,0.213655253267936,0.0124104180323299,0.75350329642871,-0.0548022571293831
"TCGA-D3-A1QA",-1.12607322367401,1.16818965718401,-1.10869226937522,-0.170662437222378,-0.411303846259144,0.443095244841009,-1.13513449416137,-1.26631160591519,-0.142409592686922,-0.0791889893942559,-2.06176796525145
"TCGA-D3-A1QB",-0.805562917609081,0.100397358904919,1.62334734536733,-1.33242713265684,1.1189854200356,-1.33384504814406,-0.0477784737248471,-0.0209714463364481,1.14155070868996,1.74661630905057,-0.204629168801041
"TCGA-D3-A2J6",0.516449319984334,0.00907711997531054,0.643821393205309,-0.114323422426344,0.138163706964171,0.106505430438535,0.0417077974362634,-0.231492716870446,-0.222790456742494,1.06810543189675,-0.00996003402972713
"TCGA-D3-A2J8",2.68593056354103,-0.531305743064556,1.86706237042645,1.46674272174986,2.16946704386048,2.66179018711746,-0.0495330061743225,1.72708188422674,0.929596104017852,1.51131224878156,-0.153222366757709
"TCGA-D3-A2JC",1.09209336507796,0.377768637297417,0.486376813032552,0.543792852799629,1.04852426831699,0.117571673049035,0.348152260342579,1.20200605140322,-0.0273769540306537,-1.1588228099071,0.191493520600473
"TCGA-D3-A2JE",-0.678872523952349,-0.801396748936201,-2.39524691016022,-0.726213323736098,-1.63970395009037,0.229124228148739,-1.1756524021401,-1.77937261494716,-1.18556978181533,-1.61677777891303,-0.629277722475926
"TCGA-D3-A2JN",0.850907529551594,0.975757148661138,-0.175628587445674,0.497907861101349,1.04688069453999,1.624985461186,1.59682292161064,1.35066757240263,0.645605740889561,1.18103183993908,-0.0648496157330718
"TCGA-D3-A2JO",1.01510343250622,-0.705660094569737,0.386479668007164,1.47522260901199,1.47633704835782,0.957979351514252,-0.196259608095382,1.09303543106124,1.54074751000769,-0.100321325985282,-0.324259950557334
"TCGA-D3-A2JP",0.694980090296543,0.8326073400949,0.524672785146653,0.618879689236854,-0.400068532990135,-0.816297571425252,-0.551118094258245,-0.13792761697507,0.825760725509263,-0.6797286048053,0.397974856276273
"TCGA-D3-A3C1",2.43060031733891,0.414471619278142,-0.0904644538815637,1.26266850166502,-0.205525560008193,-0.781382697386734,0.1522418756695,0.765913216622284,1.0257172888855,0.577884165620425,0.190169618569251
"TCGA-D3-A3C3",1.621579977499,-0.923667379191064,0.584601177273548,1.20982874206265,-0.254920301086117,-0.289050238822242,-1.19063667954257,-0.505122714650286,0.203129904790127,-1.92862033190684,-0.207001480128578
"TCGA-D3-A3CB",0.0337125897330651,-0.485015767152704,1.46513112351511,0.50527506479943,1.17589593617861,0.0443529110491965,0.111067578890237,0.782908122117771,1.97476179655293,1.37320463513263,0.572973605868421
"TCGA-D3-A3CE",-0.175360380803744,-0.58242849245518,-0.0103552724967699,0.869656516378068,0.420754295824072,0.317490431451695,-0.226307048141151,0.23851156838955,0.420540295847567,-0.749408601994461,-0.521417513390608
"TCGA-D3-A3MO",0.397279828881067,1.85071478136136,-1.28191584660743,0.963408652590885,-0.918551650625289,0.631911932015128,-0.834684144683875,-0.367811906039757,-1.2660679468273,-0.846956176687503,-0.628471655064461
"TCGA-D3-A3MR",0.0141003291631297,1.44745831371941,0.821816107986053,-0.450106434187657,1.1091896560048,-0.275683581487286,0.5340827089901,1.21185704854372,1.13392460984268,-0.448737179793946,0.404664685351369
"TCGA-D3-A3MV",1.27764748233685,0.246765765176991,0.0776592412990622,1.96599707733276,-0.635417749894489,0.582421754605103,-0.389677886236921,-0.194398272661183,-1.47670690054929,-1.55247733825335,0.68135711982413
"TCGA-D3-A51E",0.22596373840649,1.75953333868681,0.910305730994879,0.459199579720743,1.01090965869184,-0.110731460287961,-0.772583516609513,0.710364313910584,0.42639753733727,0.103573506916371,-0.381744833472914
"TCGA-D3-A51F",0.302593176944541,-0.256024923386435,1.5390980146612,-0.125947571636105,2.42259631963924,-0.123905844327623,1.14789932707257,2.13425304446148,1.26733899770817,-0.707476288873028,0.208298524932
