"","CYT","IS","IPS","impres"
"TCGA-3N-A9WD",-0.345368907544091,0.501446286397721,1.60601710261996,0.713370623321152
"TCGA-D3-A1Q1",-0.61323738977285,-1.2533109718773,-2.07591389016007,-0.0653469273271279
"TCGA-D3-A1Q4",-0.506329658799429,-0.881441884030934,-0.234948393770055,-1.62278202862369
"TCGA-D3-A1Q5",-0.508413743665179,-1.23394279021863,-0.234948393770055,-0.844064477975408
"TCGA-D3-A1Q6",-0.501084400821667,-0.989903701319456,-1.15543114196506,0.713370623321152
"TCGA-D3-A1Q8",-0.516056344616081,-0.776853703074145,-1.15543114196506,-0.844064477975408
"TCGA-D3-A1Q9",-0.185468337341559,-0.226797343968069,-1.15543114196506,-0.0653469273271279
"TCGA-D3-A1QA",-0.420922433434093,-0.536688250506704,-0.234948393770055,0.713370623321152
"TCGA-D3-A1QB",2.60457381095944,1.88433445682638,0.685534354424955,0.713370623321152
"TCGA-D3-A2J6",0.599510075080901,-0.207429162309405,-0.234948393770055,-0.0653469273271279
"TCGA-D3-A2J8",1.77825098775515,1.55894900496081,-1.15543114196506,1.49208817396943
"TCGA-D3-A2JC",-0.0778753208139957,0.272901742825478,-1.15543114196506,-0.844064477975408
"TCGA-D3-A2JE",-0.616613804788757,-1.29204733519462,-1.15543114196506,-0.844064477975408
"TCGA-D3-A2JN",0.195707104684623,0.160566289205223,-0.234948393770055,0.713370623321152
"TCGA-D3-A2JO",1.87125743305861,1.16771173545578,-1.15543114196506,0.713370623321152
"TCGA-D3-A2JP",0.133754230870157,0.532435377051585,0.685534354424955,-0.844064477975408
"TCGA-D3-A3C1",-0.518825947070856,-0.784600975737611,0.685534354424955,0.713370623321152
"TCGA-D3-A3C3",-0.211351143642168,0.323259015138006,-0.234948393770055,-0.844064477975408
"TCGA-D3-A3CB",1.44235404230817,1.53183355063868,-1.15543114196506,0.713370623321152
"TCGA-D3-A3CE",0.516856836850238,1.04375537284033,-0.234948393770055,0.713370623321152
"TCGA-D3-A3MO",-0.508028722777662,-1.33465733484369,-2.07591389016007,-0.844064477975408
"TCGA-D3-A3MR",1.07595372895008,1.42337173335016,-0.234948393770055,0.713370623321152
"TCGA-D3-A3MV",-0.575464977871513,-1.23781642655036,-1.15543114196506,-0.0653469273271279
"TCGA-D3-A51E",0.217823922645611,1.39625627902803,1.60601710261996,1.49208817396943
"TCGA-D3-A51F",5.71076933360838,1.93081809280717,-0.234948393770055,-0.844064477975408
"TCGA-D3-A51H",0.294349580460843,1.72938900355706,0.685534354424955,1.49208817396943
"TCGA-D3-A51K",-0.349719952106269,0.660265375998771,0.685534354424955,1.49208817396943
"TCGA-D3-A51N",-0.506050693114217,0.381363560114,0.685534354424955,-0.844064477975408
"TCGA-D3-A51T",-0.453746501360344,0.485951741070789,1.60601710261996,-0.0653469273271279
"TCGA-D3-A5GN",-0.125809412425429,0.199302652522553,0.685534354424955,-1.62278202862369
"TCGA-D3-A8GB",0.0695575854832435,1.15221719012885,-0.234948393770055,0.713370623321152
"TCGA-D3-A8GC",-0.536182027683062,-0.92792552001173,-1.15543114196506,0.713370623321152
"TCGA-D3-A8GD",2.35682861131515,1.83785082084558,0.685534354424955,0.713370623321152
"TCGA-D3-A8GE",0.151057853159668,-0.0137473457227584,-1.15543114196506,1.49208817396943
"TCGA-D3-A8GK",-0.634597747979937,-1.32691006218022,-1.15543114196506,-0.844064477975408
"TCGA-D3-A8GM",-0.155141620666389,0.114082653224428,-0.234948393770055,1.49208817396943
"TCGA-D3-A8GN",0.322677940786802,1.35364627937897,0.685534354424955,0.713370623321152
"TCGA-D3-A8GP",-0.531426746298845,-0.776853703074145,1.60601710261996,-1.62278202862369
"TCGA-D3-A8GR",-0.613120296269725,-0.896936429357866,0.685534354424955,-0.844064477975408
"TCGA-D3-A8GS",0.743844739563104,1.2994153707347,0.685534354424955,-1.62278202862369
"TCGA-D3-A8GV",-0.521592952605486,-1.22232188122343,-1.15543114196506,-1.62278202862369
"TCGA-D9-A148",-0.393755088701274,-0.172566435323808,0.685534354424955,-1.62278202862369
"TCGA-D9-A149",-0.0562752636572236,1.22194264410005,0.685534354424955,0.713370623321152
"TCGA-D9-A1JW",0.0899498821129859,0.958535373542207,-0.234948393770055,1.49208817396943
"TCGA-D9-A1JX",0.72404616200841,1.07861809982593,-0.234948393770055,-0.0653469273271279
"TCGA-D9-A1X3",-0.636170835834406,-1.26105824454076,-0.234948393770055,-1.62278202862369
"TCGA-D9-A3Z4",-0.357204932847481,0.0792199262388317,0.685534354424955,0.713370623321152
"TCGA-D9-A4Z2",-0.588822442806155,-1.07125006428585,-0.234948393770055,-0.844064477975408
"TCGA-D9-A4Z3",-0.515391977460159,-1.14097551825704,-2.07591389016007,-0.844064477975408
"TCGA-D9-A4Z5",-0.582933888204459,-0.63740279513176,-1.15543114196506,-0.0653469273271279
"TCGA-D9-A4Z6",-0.540123593034903,-1.02864006463679,0.685534354424955,-0.844064477975408
"TCGA-D9-A6EA",-0.558053195380853,-0.958914610665593,0.685534354424955,-1.62278202862369
"TCGA-DA-A1HV",0.277230958328982,1.44661355134056,1.60601710261996,0.713370623321152
"TCGA-DA-A1HW",1.23797768796649,1.16771173545578,-0.234948393770055,0.713370623321152
"TCGA-DA-A1HY",-0.588145395482255,-1.16034369991571,-0.234948393770055,-0.0653469273271279
"TCGA-DA-A1I0",-0.54723568617419,-0.420479160554716,-0.234948393770055,0.713370623321152
"TCGA-DA-A1I2",-0.43386392035471,0.114082653224428,1.60601710261996,-0.0653469273271279
